---------------------------------------------------------------------------------
|                               Tabela de simbolos                              |
---------------------------------------------------------------------------------
|	Token	|	Tipo		|	Tamanho	|	Linha	|	Coluna		|
|	program	|	keyWord		|	7	|	0	|	0		|
|	B	|	letter		|	1	|	0	|	8		|
|	r	|	letter		|	1	|	0	|	9		|
|	u	|	letter		|	1	|	0	|	10		|
|	1	|	intlit		|	1	|	0	|	11		|
|	n	|	letter		|	1	|	0	|	12		|
|	o	|	letter		|	1	|	0	|	13		|
|	1	|	intlit		|	1	|	0	|	14		|
|	;	|	keyWord		|	1	|	0	|	16		|
|	begin	|	keyWord		|	5	|	0	|	18		|
|	end	|	keyWord		|	3	|	0	|	24		|
---------------------------------------------------------------------------------
